diva_name,album_name,release_year,album_image_url
Demi Lovato,It’s Not That Deep,2025,https://i.scdn.co/image/ab67616d0000b273e38b894c6fd27be7f3327015
Demi Lovato,HOLY FVCK,2022,https://i.scdn.co/image/ab67616d0000b2734fa2524ad6e11753b93766ed
Demi Lovato,Dancing With The Devil…The Art of Starting Over,2021,https://i.scdn.co/image/ab67616d0000b2737379008b8d76b2c65323fed7
Demi Lovato,Tell Me You Love Me,2017,https://i.scdn.co/image/ab67616d0000b273f70868aec6eebfea4cd16c70
Demi Lovato,Confident,2015,https://i.scdn.co/image/ab67616d0000b273ed164cf1c10f028e8f528784
Demi Lovato,Demi,2013,https://i.scdn.co/image/ab67616d0000b273aadb13ae608f6af20528409b
Demi Lovato,Unbroken,2011,https://i.scdn.co/image/ab67616d0000b27383fc43cfc25d836e17f8cc30
Demi Lovato,Here We Go Again,2009,https://i.scdn.co/image/ab67616d0000b273bf75b0e371d96b9231e350ad
Demi Lovato,Don't Forget,2008,https://i.scdn.co/image/ab67616d0000b27334b49b3c32805f2357b53729
Selena Gomez,I Said I Love You First...,2025,https://i.scdn.co/image/ab67616d0000b2732277eb6b47089ae5f64b50e5
Selena Gomez,Rare,2020,https://i.scdn.co/image/ab67616d0000b2732abcc266597eb46f897a8666
Selena Gomez,Revival,2015,https://i.scdn.co/image/ab67616d0000b273e6f5ed9a9059f686965ba90a
Selena Gomez,Stars Dance,2013,https://i.scdn.co/image/ab67616d0000b2730e36690135fa1a30d048e604
Miley Cyrus,Something Beautiful,2025,https://i.scdn.co/image/ab67616d0000b2730ae6f06706ab3a955844e9a0
Miley Cyrus,Endless Summer Vacation,2023,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5
Miley Cyrus,Plastic Hearts,2020,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142
Miley Cyrus,SHE IS COMING,2019,https://i.scdn.co/image/ab67616d0000b2734ddcd4e2f9e71125af2fa97c
Miley Cyrus,Younger Now,2017,https://i.scdn.co/image/ab67616d0000b2739012e092ad8ed4731ea11134
Miley Cyrus,Miley Cyrus & Her Dead Petz,2015,https://i.scdn.co/image/ab67616d0000b273aa1cd7a6881d80d391aa55cd
Miley Cyrus,Bangerz,2013,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c
Miley Cyrus,Can't Be Tamed,2010,https://i.scdn.co/image/ab67616d0000b273478199f575bbfd53cda89090
Miley Cyrus,The Time Of Our Lives,2009,https://i.scdn.co/image/ab67616d0000b273d6c3ad6a2a27471e1d5e8103
Miley Cyrus,Breakout,2008,https://i.scdn.co/image/ab67616d0000b273e345458751c029f411db3d5b
Miley Cyrus,Meet Miley Cyrus,2007,https://i.scdn.co/image/ab67616d0000b273ecefbb245706615f71036b9e
Camila Cabello,"C,XOXO",2024,https://i.scdn.co/image/ab67616d0000b2738ef2562a1156ea6766e00ecb
Camila Cabello,Familia,2022,https://i.scdn.co/image/ab67616d0000b27317f56db9be0ac58807c82899
Camila Cabello,Romance,2019,https://i.scdn.co/image/ab67616d0000b2735f53c0dbe5190a0af0fa28f3
Camila Cabello,Camila,2018,https://i.scdn.co/image/ab67616d0000b2736eb0b9e73adcf04e4ed3eca4
Fergie,Double Dutchess,2017,https://i.scdn.co/image/ab67616d0000b2733ed4bc4e5d579d8ef102110c
Fergie,The Dutchess,2006,https://i.scdn.co/image/ab67616d0000b2730283b8c1365d34315f5807bf
Olivia Rodrigo,GUTS,2023,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
Olivia Rodrigo,SOUR,2021,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
Sabrina Carpenter,Man’s Best Friend,2025,https://i.scdn.co/image/ab67616d0000b273b1863bf95557ea7f357c4947
Sabrina Carpenter,Short n' Sweet,2024,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626
Sabrina Carpenter,emails i can't send,2022,https://i.scdn.co/image/ab67616d0000b273700f7bf79c9f063ad0362bdf
Sabrina Carpenter,Singular Act II,2019,https://i.scdn.co/image/ab67616d0000b273f22e1263704f24cb504700ea
Sabrina Carpenter,Singular Act I,2018,https://i.scdn.co/image/ab67616d0000b27338b27a27cea311f34bb68eff
Sabrina Carpenter,EVOLution,2016,https://i.scdn.co/image/ab67616d0000b273d6641a0296d8d09e416e0acd
Sabrina Carpenter,Eyes Wide Open,2015,https://i.scdn.co/image/ab67616d0000b2735d9a77afd5c144581be1e74e
Tate McRae,So Close To What,2025,https://i.scdn.co/image/ab67616d0000b27381c06ae612adc448a9636365
Tate McRae,THINK LATER,2023,https://i.scdn.co/image/ab67616d0000b27377eb7a5b9367de79c3b92a49
Tate McRae,i used to think i could fly,2022,https://i.scdn.co/image/ab67616d0000b273f7108342ef45a402af8206b2
Chappell Roan,The Rise and Fall of a Midwest Princess,2023,https://i.scdn.co/image/ab67616d0000b27396fa88fb1789be437d5cb4b6
Charli xcx,BRAT,2024,https://i.scdn.co/image/ab67616d0000b273c5c6772d1d98b2d0f3a69e37
Charli xcx,CRASH,2022,https://i.scdn.co/image/ab67616d0000b27368e0efd6605eca695d1aef3d
Charli xcx,how i'm feeling now,2020,https://i.scdn.co/image/ab67616d0000b27349bdbd5880802dcbe4e0b2dd
Charli xcx,Charli,2019,https://i.scdn.co/image/ab67616d0000b273818f800f9edff81aeadc9a86
Charli xcx,SUCKER,2014,https://i.scdn.co/image/ab67616d0000b2733ead1ebf6081fd25fb571e06
Charli xcx,True Romance,2013,https://i.scdn.co/image/ab67616d0000b27352be89583b62dfbc2908c87d
Whitney Houston,I Look To You,2009,https://i.scdn.co/image/ab67616d0000b27359aa2f6cbdd823cd1464a237
Whitney Houston,One Wish / The Holiday Album,2003,https://i.scdn.co/image/ab67616d0000b27383637e0f2b1fa0ce1db265f6
Whitney Houston,Just Whitney,2002,https://i.scdn.co/image/ab67616d0000b273f3f9873a0142ed043ef99543
Whitney Houston,My Love Is Your Love,1998,https://i.scdn.co/image/ab67616d0000b27384b84d08fdbaebb99098890c
Whitney Houston,The Bodyguard - Original Soundtrack Album,1992,https://i.scdn.co/image/ab67616d0000b273456c0b5d0316a80dc600802e
Whitney Houston,I'm Your Baby Tonight,1990,https://i.scdn.co/image/ab67616d0000b27302dffd583e3bc8eff1ad471b
Whitney Houston,Whitney,1987,https://i.scdn.co/image/ab67616d0000b273cc57e9b00b87dd0f6e868347
Whitney Houston,Whitney Houston,1985,https://i.scdn.co/image/ab67616d0000b2739015296f9afabfc102989521
